Date : 2024-10-03 20:22:20
Directory : /Users/knysh/FICT/7term/economics/lab2/task1-2
Total : 304 files,  19919 codes, 320 comments, 3417 blanks, all 23656 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          4 |     10,582 |          0 |      1,465 |     12,047 |
| TypeScript JSX     |         82 |      4,981 |         75 |        898 |      5,954 |
| TypeScript         |        158 |      3,186 |        136 |        853 |      4,175 |
| JSON               |         17 |        493 |          0 |         17 |        510 |
| JavaScript         |         14 |        234 |         18 |         17 |        269 |
| MS SQL             |         14 |        110 |         70 |         54 |        234 |
| CSS                |          1 |         85 |          4 |         29 |        118 |
| Markdown           |          3 |         75 |          2 |         36 |        113 |
| JSON with Comments |          5 |         65 |          0 |          5 |         70 |
| Docker             |          2 |         64 |         14 |         34 |        112 |
| Handlebars         |          2 |         22 |          0 |          7 |         29 |
| XML                |          1 |         11 |          1 |          0 |         12 |
| Ignore             |          1 |         11 |          0 |          2 |         13 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        304 |     19,919 |        320 |      3,417 |     23,656 |
| . (Files)                                                                                                                         |          9 |     10,681 |          0 |      1,469 |     12,150 |
| apps                                                                                                                              |        195 |      7,140 |        207 |      1,547 |      8,894 |
| apps/api                                                                                                                          |         48 |      1,510 |         24 |        358 |      1,892 |
| apps/api (Files)                                                                                                                  |          7 |        202 |          8 |         44 |        254 |
| apps/api/src                                                                                                                      |         41 |      1,308 |         16 |        314 |      1,638 |
| apps/api/src (Files)                                                                                                              |          2 |         68 |          1 |         18 |         87 |
| apps/api/src/auth                                                                                                                 |         15 |        561 |          6 |        131 |        698 |
| apps/api/src/auth (Files)                                                                                                         |          3 |        245 |          1 |         48 |        294 |
| apps/api/src/auth/guards                                                                                                          |          3 |         10 |          0 |          6 |         16 |
| apps/api/src/auth/password                                                                                                        |          2 |        105 |          5 |         26 |        136 |
| apps/api/src/auth/strategy                                                                                                        |          3 |         71 |          0 |         17 |         88 |
| apps/api/src/auth/token                                                                                                           |          2 |        103 |          0 |         24 |        127 |
| apps/api/src/auth/utils                                                                                                           |          2 |         27 |          0 |         10 |         37 |
| apps/api/src/avatar                                                                                                               |          3 |         68 |          2 |         22 |         92 |
| apps/api/src/config                                                                                                               |          2 |         28 |          4 |          9 |         41 |
| apps/api/src/document                                                                                                             |          3 |        127 |          0 |         26 |        153 |
| apps/api/src/lib                                                                                                                  |          2 |         48 |          0 |         14 |         62 |
| apps/api/src/lib (Files)                                                                                                          |          1 |         27 |          0 |          6 |         33 |
| apps/api/src/lib/services                                                                                                         |          1 |         21 |          0 |          8 |         29 |
| apps/api/src/mail                                                                                                                 |          6 |        175 |          0 |         36 |        211 |
| apps/api/src/mail (Files)                                                                                                         |          4 |        153 |          0 |         29 |        182 |
| apps/api/src/mail/templates                                                                                                       |          2 |         22 |          0 |          7 |         29 |
| apps/api/src/prisma                                                                                                               |          1 |         30 |          0 |          4 |         34 |
| apps/api/src/search                                                                                                               |          3 |         57 |          0 |         16 |         73 |
| apps/api/src/user                                                                                                                 |          4 |        146 |          3 |         38 |        187 |
| apps/api/src/user (Files)                                                                                                         |          3 |        136 |          3 |         33 |        172 |
| apps/api/src/user/decorators                                                                                                      |          1 |         10 |          0 |          5 |         15 |
| apps/web                                                                                                                          |        147 |      5,630 |        183 |      1,189 |      7,002 |
| apps/web (Files)                                                                                                                  |          9 |        174 |         12 |         45 |        231 |
| apps/web/app                                                                                                                      |         17 |        395 |          1 |         99 |        495 |
| apps/web/app (Files)                                                                                                              |          5 |        100 |          0 |         26 |        126 |
| apps/web/app/(auth)                                                                                                               |          6 |        135 |          0 |         33 |        168 |
| apps/web/app/(auth) (Files)                                                                                                       |          1 |         17 |          0 |          4 |         21 |
| apps/web/app/(auth)/forgot-password                                                                                               |          2 |         66 |          0 |         11 |         77 |
| apps/web/app/(auth)/forgot-password (Files)                                                                                       |          1 |          8 |          0 |          4 |         12 |
| apps/web/app/(auth)/forgot-password/[requestId]                                                                                   |          1 |         58 |          0 |          7 |         65 |
| apps/web/app/(auth)/login                                                                                                         |          1 |         22 |          0 |          7 |         29 |
| apps/web/app/(auth)/signup                                                                                                        |          2 |         30 |          0 |         11 |         41 |
| apps/web/app/(auth)/signup (Files)                                                                                                |          1 |         22 |          0 |          7 |         29 |
| apps/web/app/(auth)/signup/verify-email                                                                                           |          1 |          8 |          0 |          4 |         12 |
| apps/web/app/(workspace)                                                                                                          |          6 |        160 |          1 |         40 |        201 |
| apps/web/app/(workspace) (Files)                                                                                                  |          1 |         22 |          0 |          6 |         28 |
| apps/web/app/(workspace)/d                                                                                                        |          3 |         48 |          1 |         12 |         61 |
| apps/web/app/(workspace)/d (Files)                                                                                                |          2 |         37 |          1 |          9 |         47 |
| apps/web/app/(workspace)/d/[documentId]                                                                                           |          1 |         11 |          0 |          3 |         14 |
| apps/web/app/(workspace)/settings                                                                                                 |          2 |         90 |          0 |         22 |        112 |
| apps/web/entities                                                                                                                 |         20 |        901 |         29 |        217 |      1,147 |
| apps/web/entities/document                                                                                                        |          3 |        143 |          0 |         38 |        181 |
| apps/web/entities/document (Files)                                                                                                |          1 |          2 |          0 |          1 |          3 |
| apps/web/entities/document/api                                                                                                    |          1 |         67 |          0 |         16 |         83 |
| apps/web/entities/document/model                                                                                                  |          1 |         74 |          0 |         21 |         95 |
| apps/web/entities/editor                                                                                                          |         11 |        551 |         26 |        120 |        697 |
| apps/web/entities/editor (Files)                                                                                                  |          1 |          3 |          0 |          1 |          4 |
| apps/web/entities/editor/core                                                                                                     |          9 |        520 |         26 |        111 |        657 |
| apps/web/entities/editor/core (Files)                                                                                             |          7 |        414 |         21 |         85 |        520 |
| apps/web/entities/editor/core/queue                                                                                               |          1 |         56 |          3 |         12 |         71 |
| apps/web/entities/editor/core/serializer                                                                                          |          1 |         50 |          2 |         14 |         66 |
| apps/web/entities/editor/model                                                                                                    |          1 |         28 |          0 |          8 |         36 |
| apps/web/entities/search                                                                                                          |          3 |         59 |          0 |         18 |         77 |
| apps/web/entities/search (Files)                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| apps/web/entities/search/api                                                                                                      |          1 |         20 |          0 |          7 |         27 |
| apps/web/entities/search/model                                                                                                    |          1 |         37 |          0 |         10 |         47 |
| apps/web/entities/session                                                                                                         |          3 |        148 |          3 |         41 |        192 |
| apps/web/entities/session (Files)                                                                                                 |          1 |          2 |          0 |          1 |          3 |
| apps/web/entities/session/api                                                                                                     |          1 |        109 |          3 |         29 |        141 |
| apps/web/entities/session/model                                                                                                   |          1 |         37 |          0 |         11 |         48 |
| apps/web/features                                                                                                                 |         74 |      3,672 |         53 |        703 |      4,428 |
| apps/web/features/auth                                                                                                            |         18 |        668 |          4 |        102 |        774 |
| apps/web/features/auth (Files)                                                                                                    |          1 |         12 |          0 |          4 |         16 |
| apps/web/features/auth/api                                                                                                        |          4 |         71 |          0 |         17 |         88 |
| apps/web/features/auth/forgot-password                                                                                            |          2 |        106 |          0 |         12 |        118 |
| apps/web/features/auth/login                                                                                                      |          2 |        105 |          1 |         14 |        120 |
| apps/web/features/auth/middlewares                                                                                                |          2 |         31 |          2 |         10 |         43 |
| apps/web/features/auth/reset-password                                                                                             |          2 |         97 |          0 |         13 |        110 |
| apps/web/features/auth/signup                                                                                                     |          2 |        116 |          1 |         14 |        131 |
| apps/web/features/auth/ui                                                                                                         |          1 |         93 |          0 |         10 |        103 |
| apps/web/features/auth/ui/form                                                                                                    |          1 |         93 |          0 |         10 |        103 |
| apps/web/features/auth/utils                                                                                                      |          1 |          6 |          0 |          2 |          8 |
| apps/web/features/auth/verify-email                                                                                               |          1 |         31 |          0 |          6 |         37 |
| apps/web/features/editor                                                                                                          |          7 |        135 |          1 |         46 |        182 |
| apps/web/features/editor (Files)                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| apps/web/features/editor/api                                                                                                      |          2 |         12 |          0 |          5 |         17 |
| apps/web/features/editor/ui                                                                                                       |          4 |        122 |          1 |         40 |        163 |
| apps/web/features/export                                                                                                          |          7 |        200 |          0 |         45 |        245 |
| apps/web/features/export (Files)                                                                                                  |          2 |        126 |          0 |         20 |        146 |
| apps/web/features/export/lib                                                                                                      |          5 |         74 |          0 |         25 |         99 |
| apps/web/features/export/lib (Files)                                                                                              |          1 |          1 |          0 |          1 |          2 |
| apps/web/features/export/lib/composer                                                                                             |          4 |         73 |          0 |         24 |         97 |
